pais;industria;valor_importado
GUM;155 Maintenance and repair services n.i.e.;0.0
GUY;155 Maintenance and repair services n.i.e.;0.0
HKG;155 Maintenance and repair services n.i.e.;476.533447265625
HMD;155 Maintenance and repair services n.i.e.;0.0
HND;155 Maintenance and repair services n.i.e.;0.0
HRV;155 Maintenance and repair services n.i.e.;75.93400573730469
HTI;155 Maintenance and repair services n.i.e.;0.0
HUN;155 Maintenance and repair services n.i.e.;396.8870849609375
IDN;155 Maintenance and repair services n.i.e.;58.981998443603516
IND;155 Maintenance and repair services n.i.e.;1160.551513671875
IOT;155 Maintenance and repair services n.i.e.;0.0
IRL;155 Maintenance and repair services n.i.e.;1274.333984375
IRN;155 Maintenance and repair services n.i.e.;0.0
IRQ;155 Maintenance and repair services n.i.e.;0.0
ISL;155 Maintenance and repair services n.i.e.;135.86000061035156
ISR;155 Maintenance and repair services n.i.e.;190.39552307128906
ITA;155 Maintenance and repair services n.i.e.;2024.953857421875
JAM;155 Maintenance and repair services n.i.e.;0.0
JOR;155 Maintenance and repair services n.i.e.;67.0
JPN;155 Maintenance and repair services n.i.e.;2580.5869140625
KAZ;155 Maintenance and repair services n.i.e.;0.0
KEN;155 Maintenance and repair services n.i.e.;0.0
KGZ;155 Maintenance and repair services n.i.e.;0.0
KHM;155 Maintenance and repair services n.i.e.;0.0
KIR;155 Maintenance and repair services n.i.e.;0.0
KNA;155 Maintenance and repair services n.i.e.;0.0
KOR;155 Maintenance and repair services n.i.e.;738.8650512695312
KWT;155 Maintenance and repair services n.i.e.;0.0
LAO;155 Maintenance and repair services n.i.e.;0.0
LBN;155 Maintenance and repair services n.i.e.;0.0
LBR;155 Maintenance and repair services n.i.e.;0.0
LBY;155 Maintenance and repair services n.i.e.;0.0
LCA;155 Maintenance and repair services n.i.e.;0.0
LIE;155 Maintenance and repair services n.i.e.;3.8949999809265137
LKA;155 Maintenance and repair services n.i.e.;0.0
LSO;155 Maintenance and repair services n.i.e.;0.0
LTU;155 Maintenance and repair services n.i.e.;113.50358581542969
LUX;155 Maintenance and repair services n.i.e.;321.43707275390625
LVA;155 Maintenance and repair services n.i.e.;65.63800048828125
MAC;155 Maintenance and repair services n.i.e.;0.0
MAR;155 Maintenance and repair services n.i.e.;156.4239959716797
MDA;155 Maintenance and repair services n.i.e.;0.0
MDG;155 Maintenance and repair services n.i.e.;0.0
MDV;155 Maintenance and repair services n.i.e.;0.0
MEX;155 Maintenance and repair services n.i.e.;738.1140747070312
MHL;155 Maintenance and repair services n.i.e.;0.0
MKD;155 Maintenance and repair services n.i.e.;0.0
MLI;155 Maintenance and repair services n.i.e.;0.0
MLT;155 Maintenance and repair services n.i.e.;162.0316925048828
MMR;155 Maintenance and repair services n.i.e.;0.0
MNE;155 Maintenance and repair services n.i.e.;3.1589999198913574
MNG;155 Maintenance and repair services n.i.e.;0.0
MNP;155 Maintenance and repair services n.i.e.;0.0
MOZ;155 Maintenance and repair services n.i.e.;0.0
MRT;155 Maintenance and repair services n.i.e.;0.0
MSR;155 Maintenance and repair services n.i.e.;0.0
MUS;155 Maintenance and repair services n.i.e.;0.0
MWI;155 Maintenance and repair services n.i.e.;0.0
MYS;155 Maintenance and repair services n.i.e.;239.40469360351562
NAM;155 Maintenance and repair services n.i.e.;0.0
NCL;155 Maintenance and repair services n.i.e.;0.0
NER;155 Maintenance and repair services n.i.e.;0.0
NFK;155 Maintenance and repair services n.i.e.;0.0
NGA;155 Maintenance and repair services n.i.e.;100.3590087890625
NIC;155 Maintenance and repair services n.i.e.;0.0
NIU;155 Maintenance and repair services n.i.e.;0.0
NLD;155 Maintenance and repair services n.i.e.;1699.911376953125
NOR;155 Maintenance and repair services n.i.e.;715.12548828125
NPL;155 Maintenance and repair services n.i.e.;0.0
NRU;155 Maintenance and repair services n.i.e.;0.0
NZL;155 Maintenance and repair services n.i.e.;99.9010009765625
OMN;155 Maintenance and repair services n.i.e.;16.0
PAK;155 Maintenance and repair services n.i.e.;11.093283653259277
PAN;155 Maintenance and repair services n.i.e.;70.0
PCN;155 Maintenance and repair services n.i.e.;0.0
PER;155 Maintenance and repair services n.i.e.;156.0
PHL;155 Maintenance and repair services n.i.e.;126.0679931640625
PLW;155 Maintenance and repair services n.i.e.;0.0
PNG;155 Maintenance and repair services n.i.e.;6.199999809265137
