industry,dependent_country,supplier_country,dependency_value,direct_dependency,indirect_dependency,trade_value,optimal_length,tariff,tariff_group,region
Aircraft and spacecraft,USA,ZMB,0.0,0.0,0.0,0.0,2,17,11-20%,OTHER
Aircraft and spacecraft,USA,MOZ,0.0,0.0,0.0,0.0,2,16,11-20%,OTHER
Aircraft and spacecraft,USA,NOR,0.0,0.0,0.0,0.0,2,16,11-20%,OTHER
Aircraft and spacecraft,USA,VEN,0.0,0.0,0.0,0.0,2,15,11-20%,LATAM
Aircraft and spacecraft,USA,NGA,0.0,0.0,0.0,0.0,2,14,11-20%,OTHER
Aircraft and spacecraft,USA,GNQ,0.0,0.0,0.0,0.0,2,13,11-20%,OTHER
Aircraft and spacecraft,USA,TCD,0.0,0.0,0.0,0.0,2,13,11-20%,OTHER
Aircraft and spacecraft,USA,CMR,0.0,0.0,0.0,0.0,2,12,11-20%,OTHER
Aircraft and spacecraft,USA,COD,0.0,0.0,0.0,0.0,2,11,11-20%,OTHER
Aircraft and spacecraft,USA,GBR,0.0739002725265838,0.0448218211531639,0.0290784513734198,5467.74609375,3,10,0-10%,OTHER
Aircraft and spacecraft,USA,BRA,0.0236679793110356,0.0225665997713804,0.0011013795396552,2752.865234375,2,10,0-10%,LATAM
Aircraft and spacecraft,USA,SGP,0.0182209157544091,0.0147162731736898,0.0035046425807193,1795.2158203125,2,10,0-10%,ASIA
Aircraft and spacecraft,USA,TUR,0.0072058702650922,0.006302822381258,0.0009030478838342,768.8717651367188,2,10,0-10%,OTHER
Aircraft and spacecraft,USA,AUS,0.0,0.0,0.0,0.0,2,10,0-10%,OTHER
Aircraft and spacecraft,USA,CHL,0.0,0.0,0.0,0.0,2,10,0-10%,LATAM
Aircraft and spacecraft,USA,COL,0.0,0.0,0.0,0.0,2,10,0-10%,LATAM
Basic iron and steel,USA,LSO,0.0,0.0,0.0,0.0,2,50,>40%,OTHER
Basic iron and steel,USA,KHM,0.0,0.0,0.0,0.0,2,49,>40%,ASIA
Basic iron and steel,USA,LAO,0.0,0.0,0.0,0.0,2,48,>40%,ASIA
Basic iron and steel,USA,MDG,0.0,0.0,0.0,0.0,2,47,>40%,OTHER
Basic iron and steel,USA,VNM,0.001651046568651,0.0,0.001651046568651,0.0,2,46,>40%,ASIA
Basic iron and steel,USA,MMR,0.0001084239349835,0.0,0.0001084239349835,0.0,2,45,>40%,ASIA
Basic iron and steel,USA,LKA,0.0,0.0,0.0,0.0,2,44,>40%,ASIA
Basic iron and steel,USA,FLK,0.0,0.0,0.0,0.0,2,42,>40%,OTHER
Basic iron and steel,USA,SYR,0.0,0.0,0.0,0.0,2,41,>40%,OTHER
Basic iron and steel,USA,MUS,0.0,0.0,0.0,0.0,2,40,31-40%,OTHER
Basic iron and steel,USA,IRQ,0.0,0.0,0.0,0.0,2,39,31-40%,OTHER
Basic iron and steel,USA,BWA,0.0,0.0,0.0,0.0,2,38,31-40%,OTHER
Basic iron and steel,USA,GUY,0.0,0.0,0.0,0.0,2,38,31-40%,OTHER
Basic iron and steel,USA,SRB,0.0,0.0,0.0,0.0,2,38,31-40%,OTHER
Basic iron and steel,USA,THA,0.0005819526302832,0.0,0.0005819526302832,0.0,2,37,31-40%,ASIA
Basic iron and steel,USA,BGD,0.0,0.0,0.0,0.0,2,37,31-40%,ASIA
Basic iron and steel,USA,BIH,0.0,0.0,0.0,0.0,2,36,31-40%,OTHER
Basic iron and steel,USA,CHN,0.0388435009386525,0.0131098106503486,0.0257336902883038,1642.4447021484375,3,34,31-40%,ASIA
Basic iron and steel,USA,MKD,0.0,0.0,0.0,0.0,2,33,31-40%,OTHER
Basic iron and steel,USA,TWN,0.0129105642035711,0.0086549529805779,0.0042556112229931,1084.323974609375,2,32,31-40%,ASIA
Basic iron and steel,USA,IDN,0.0042851523187655,0.0,0.0042851523187655,0.0,2,32,31-40%,ASIA
Basic iron and steel,USA,CHE,0.000246898480237,0.0,0.000246898480237,0.0,2,32,31-40%,OTHER
Basic iron and steel,USA,AGO,0.0,0.0,0.0,0.0,2,32,31-40%,OTHER
Basic iron and steel,USA,FJI,0.0,0.0,0.0,0.0,2,32,31-40%,OTHER
Basic iron and steel,USA,ZAF,0.0018613076889165,0.0,0.0018613076889165,0.0,2,31,31-40%,OTHER
Basic iron and steel,USA,MDA,4.458468585313846e-05,0.0,4.458468585313846e-05,0.0,2,31,31-40%,OTHER
Basic iron and steel,USA,LBY,0.0,0.0,0.0,0.0,2,31,31-40%,OTHER
